pg_name,location,room_amenities,common_amenities,food_facility,available_from,posted_on,parking,occupancy,rent,deposit
"PG for Girls in F928+9v4, Anjaiah Nagar, Gachibowli, Hyderab",Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'fridge', 'housekeeping', 'laundry service', 'lift', 'mess', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-04,Bike,single,18000,2000
"PG for Girls in F928+9v4, Anjaiah Nagar, Gachibowli, Hyderab",Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'fridge', 'housekeeping', 'laundry service', 'lift', 'mess', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-04,Bike,double,9000,2000
"PG for Girls in F928+9v4, Anjaiah Nagar, Gachibowli, Hyderab",Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'fridge', 'housekeeping', 'laundry service', 'lift', 'mess', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-04,Bike,three,8000,2000
"PG for Girls in F928+9v4, Anjaiah Nagar, Gachibowli, Hyderab",Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'fridge', 'housekeeping', 'laundry service', 'lift', 'mess', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-04,Bike,four,7000,2000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-04,Bike,three,8000,2000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-04,Bike,four,7000,2000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'laundry service', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-04-12,Bike,double,9000,3000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['ac (shared)', 'cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike,three,7000,1000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['ac (shared)', 'cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-28,Bike,four,6000,1000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['ac (shared)', 'cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,three,6000,2000
PG for Girls in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'lift', 'power backup', 'tv in common area', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-30,Bike and Car,four,10000,10000
PG for Girls in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-04,Bike,three,8500,2000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'power backup', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-04,Bike,four,7500,2000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,four,7000,3000
PG for Boys in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'hot & cold water', 'housekeeping', 'lift', 'power backup', 'tv in common area', 'warden', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-07-03,Bike,single,15000,3000
PG for Boys in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'fridge', 'housekeeping', 'lift', 'power backup', 'warden', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-07-03,Bike,double,11000,3000
PG for Boys in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'fridge', 'housekeeping', 'lift', 'power backup', 'warden', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-07-03,Bike,three,8000,3000
PG for Boys in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'common tv', 'fridge', 'housekeeping', 'lift', 'power backup', 'warden', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-07-03,Bike,four,7000,3000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'mattress', 'power backup', 'room cleaning', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Car,three,8000,3000
PG for Girls in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'mess facility', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,single,13000,2000
PG for Girls in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'mess facility', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,double,12000,2000
PG for Girls in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'mess facility', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,three,10000,2000
PG for Girls in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cctv security', 'fridge', 'housekeeping', 'mess facility', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,four,8500,2000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'power backup', 'tv in common area', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike and Car,four,7000,2000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'lift', 'mattress', 'mess', 'power backup', 'room cleaning', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,double,9000,1
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'lift', 'mattress', 'mess', 'power backup', 'room cleaning', 'tv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,three,7500,1
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'mattress', 'mess', 'power backup', 'room cleaning', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,three,10000,5000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'mattress', 'mess', 'power backup', 'room cleaning', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,double,10500,3000
PG for Boys in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'mattress', 'mess', 'power backup', 'room cleaning', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-26,Bike,four,4800,3000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'mattress', 'mess', 'power backup', 'room cleaning', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,double,13500,5000
PG for Girls in Gachibowli,Gachibowli,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'laundry', 'lift', 'mattress', 'mess', 'power backup', 'room cleaning', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,four,8000,3000
PG for Boys in Gachibowli,Gachibowli,"['ac', 'attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'common tv', 'fridge', 'housekeeping', 'lift', 'power backup', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike,double,12500,5000
PG for Boys in Kondapur,Kondapur,"['bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)', 'study table']","['24×7 security', 'cctv', 'fridge', 'high-speed wi-fi', 'housekeeping', 'laundry service', 'power backup', 'regular housekeeping', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-26,Bike,three,7500,3000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'bed sheets', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)', 'pillow']","['cctv', 'drinking water', 'fridge', 'high-speed wi-fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-26,Bike,four,6500,3000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'bed sheets', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)', 'pillow', 'study table']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-19,Bike,three,9500,3000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-17,Bike,three,7500,3000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'lift', 'microwave', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water cooler/water purifier', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,double,9500,2000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'lift', 'microwave', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water cooler/water purifier', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,three,8000,2000
PG for Anyone in 2nd A Street Opp.lane To S-mart Super Marke,Kondapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'shared mess', 'tv (common)', 'washing machine', 'water purifier', 'water purifier/drinking water', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,single,26000,5000
PG for Anyone in 2nd A Street Opp.lane To S-mart Super Marke,Kondapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'shared mess', 'tv (common)', 'washing machine', 'water purifier', 'water purifier/drinking water', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,double,15000,4000
PG for Anyone in 2nd A Street Opp.lane To S-mart Super Marke,Kondapur,"['ac', 'attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'shared mess', 'tv (common)', 'washing machine', 'water purifier', 'water purifier/drinking water', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,three,12000,3000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high?speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-27,Bike,double,11000,3000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-27,Bike,three,8500,3000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-27,Bike,four,7500,3000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-19,Bike,four,8000,4000
"PG for Boys in Kondapur,",Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high?speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-17,Bike,double,10000,1000
"PG for Boys in Kondapur,",Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-17,Bike,three,8000,1000
"PG for Boys in Kondapur,",Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-17,Bike,four,7000,1000
PG for Anyone in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'shared mess', 'tv (common)', 'washing machine', 'water purifier', 'water purifier/drinking water', 'wifi']",Not Available,2025-07-23,2025-07-04,Bike,three,12500,50000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-27,Bike,three,8500,5000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-27,Bike,four,8000,4000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,four,6500,1000
"PG for Boys in , Kondapur",Kondapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'shared mess', 'tv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-22,Bike,three,8500,2000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high?speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-22,Bike,three,6500,1000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi-fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-22,Bike,four,6500,1000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'housekeeping', 'laundry', 'lift', 'mess', 'power backup', 'security guard / cctv', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-07-02,Bike and Car,double,10000,2000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-19,Bike,three,8500,3000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'housekeeping', 'shared refrigerator (possible)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-17,Bike,three,7500,1000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'guardian', 'housekeeping', 'laundry', 'lift', 'mess', 'room cleaning', 'tv', 'warden', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-29,Bike,three,8000,4000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-22,Bike,four,6500,1000
PG for Boys in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,three,7500,2000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high?speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-17,Bike,double,11000,2000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-17,Bike,three,8000,2000
PG for Anyone in Kondapur,Kondapur,"['bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'geyser', 'light']","['cctv', 'daily housekeeping', 'fridge', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-13,Bike,double,10500,2000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-27,Bike,three,7000,2000
PG for Girls in Kondapur,Kondapur,"['attached bathroom', 'bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'geyser', 'light', 'mattress (foam/cotton)']","['cctv', 'cooking facility', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-27,Bike,four,6300,2000
PG for Boys in Kondapur,Kondapur,"['bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'fridge', 'high-speed wi?fi', 'housekeeping', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",Not Available,2025-07-23,2025-06-17,Bike,double,8000,2000
PG for Girls in Manikonda,Manikonda,"['bed (cot/frame)', 'chair', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-23,Bike,four,8000,8000
PG for Boys in Manikonda Jagir,Manikonda,"['bed (cot/frame)', 'charging points', 'cupboard', 'fan', 'light', 'mattress (foam/cotton)']","['cctv', 'daily housekeeping', 'fridge', 'high-speed wi?fi', 'housekeeping', 'lift', 'power backup', 'security guard / cctv', 'tv (common)', 'washing machine', 'water purifier', 'wifi']",All Meals,2025-07-23,2025-06-19,Bike,three,9000,2000
